Neuron,Type,Location,Description,Neurotransmitter/Neuropeptide,Innexin Expression,Receptor expression,Function
VB3,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB4,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB5,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB6,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB7,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB8,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB9,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB10,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VB11,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VC1,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
VC2,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
VC3,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
VC4,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
VC5,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
VC6,Motor neuron,Body (ventral nerve cord),"Hermaphrodite specific ventral cord motor neurons. The neurons are born in L1, and begin to send out processes in late L3. These processes branch in the region of the vulva during L4. VC4 and VC5 have short ventral cord processes, but send branched processes dorsally along the vulval hypodermis on each side of the vulval slit. VC1-3 and VC6 send less branched processes to vulval regions but have longer processes in the ventral cord (in R side fascicle). The dorsal branches of VC axons innervate vm2 vulval muscles. These neurons, except VC4 and VC5, also innervate ventral body muscles. The generation of VC neurons from the 6 Pn.a neuroblast lineages (P3.a-P8.a) is dependent on a HOM-C gene, lin-39. In the absence of lin-39, these neurons undergo programmed cell death (Ruvkun, 1997). The formation of the complex arborizations made by VC neuron branches at the level of the vulva depend on the presence of the vulval cells and the somatic gonad but not on the interactions of VC's with target muscles or HSN neurons (Li and Chalfie, 1990; Colavita and Tessier-Lavigne, 2003) For a more detailed anatomical description of VC neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (only VC4 and VC5) Rand and Nonet, 1997. Express VMaT, CAT-1 (Duerr et al., 1999). Acetylcholine. (Rand and Nonet, 1997). Express ChAT and VAChT (Duerr et al., 2001; Lickteig et al., 2001).",,"Express glutamate receptor subunit, GLR-5 (Brockie et al., 2001). ","Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998)."
